sample,rss,cr,x,y,method,r,n,abs_r,null_p_two_sided_abs,null_abs_percentile,null_abs_p95
final_with_cr2284,2.0,all,pfss_equator_abs_mean,speed_mean,pearson,0.0991852469557167,180,0.0991852469557167,0.31334332833583206,68.7,0.1997345232742852
final_with_cr2284,2.0,all,pfss_equator_abs_mean,speed_mean,spearman,-0.06020147751550614,180,0.06020147751550614,0.5802098950524738,42.0,0.20117735175849227
final_with_cr2284,2.0,all,pfss_equator_abs_mean,bmag_mean,pearson,0.266863494162589,180,0.266863494162589,0.005497251374312844,99.5,0.1817784638258428
final_with_cr2284,2.0,all,pfss_equator_abs_mean,bmag_mean,spearman,0.28034933194923917,180,0.28034933194923917,0.005497251374312844,99.5,0.19427482035189886
final_with_cr2284,2.0,all,pfss_equator_abs_mean,density_mean,pearson,0.23496219002155574,180,0.23496219002155574,0.0399800099950025,96.05,0.22322167254251282
final_with_cr2284,2.0,all,pfss_equator_abs_mean,density_mean,spearman,0.29592389473130387,180,0.29592389473130387,0.02498750624687656,97.55,0.25623777289311334
final_with_cr2284,2.0,all,pfss_equator_abs_mean,pdyn_mean,pearson,0.19560787179742647,180,0.19560787179742647,0.054972513743128434,94.55,0.19844302744999234
final_with_cr2284,2.0,all,pfss_equator_abs_mean,pdyn_mean,spearman,0.2893258022366945,180,0.2893258022366945,0.02048975512243878,98.0,0.250634690371102
final_with_cr2284,2.0,all,pfss_equator_abs_mean,ma_mean,pearson,-0.06133836489760031,180,0.06133836489760031,0.5252373813093453,47.5,0.18987151458674384
final_with_cr2284,2.0,all,pfss_equator_abs_mean,ma_mean,spearman,-0.10245995246766876,180,0.10245995246766876,0.2868565717141429,71.35000000000001,0.18131753037645193
final_with_cr2284,2.0,all,pfss_midlat_abs_mean,speed_mean,pearson,0.05968790494588767,180,0.05968790494588767,0.5262368815592204,47.4,0.18297210869350505
final_with_cr2284,2.0,all,pfss_midlat_abs_mean,speed_mean,spearman,-0.11785760767186126,180,0.11785760767186126,0.2638680659670165,73.65,0.2043547148341859
final_with_cr2284,2.0,all,pfss_midlat_abs_mean,bmag_mean,pearson,0.24647133077930572,180,0.24647133077930572,0.008995502248875561,99.15,0.18475713153710743
final_with_cr2284,2.0,all,pfss_midlat_abs_mean,bmag_mean,spearman,0.26165635855861075,180,0.26165635855861075,0.00849575212393803,99.2,0.19407887798950987
final_with_cr2284,2.0,all,pfss_midlat_abs_mean,density_mean,pearson,0.22666834483906972,180,0.22666834483906972,0.0559720139930035,94.45,0.2315010126462355
final_with_cr2284,2.0,all,pfss_midlat_abs_mean,density_mean,spearman,0.2936892567102546,180,0.2936892567102546,0.03248375812093953,96.8,0.2715191165978304
final_with_cr2284,2.0,all,pfss_midlat_abs_mean,pdyn_mean,pearson,0.17011340386177304,180,0.17011340386177304,0.0864567716141929,91.4,0.19150392171393854
final_with_cr2284,2.0,all,pfss_midlat_abs_mean,pdyn_mean,spearman,0.2678889266129613,180,0.2678889266129613,0.044977511244377814,95.55,0.2619174460117082
final_with_cr2284,2.0,all,pfss_midlat_abs_mean,ma_mean,pearson,-0.05700828649625795,180,0.05700828649625795,0.5407296351824088,45.95,0.18217856933887314
final_with_cr2284,2.0,all,pfss_midlat_abs_mean,ma_mean,spearman,-0.09391030587363808,180,0.09391030587363808,0.34632683658170915,65.4,0.18399477350123972
final_with_cr2284,2.0,all,pfss_global_abs_mean,speed_mean,pearson,-0.04358065623496401,180,0.04358065623496401,0.6611694152923538,33.900000000000006,0.18500806783545423
final_with_cr2284,2.0,all,pfss_global_abs_mean,speed_mean,spearman,-0.1822948148064558,180,0.1822948148064558,0.0944527736131934,90.60000000000001,0.21149639983561952
final_with_cr2284,2.0,all,pfss_global_abs_mean,bmag_mean,pearson,0.2026001698989301,180,0.2026001698989301,0.037481259370314844,96.3,0.1920838545236482
final_with_cr2284,2.0,all,pfss_global_abs_mean,bmag_mean,spearman,0.23707739800480418,180,0.23707739800480418,0.012993503248375811,98.75,0.20073026982845224
final_with_cr2284,2.0,all,pfss_global_abs_mean,density_mean,pearson,0.18198008728398946,180,0.18198008728398946,0.14042978510744628,86.0,0.23342672256738436
final_with_cr2284,2.0,all,pfss_global_abs_mean,density_mean,spearman,0.2506004560843033,180,0.2506004560843033,0.07196401799100449,92.85,0.26629714203998606
final_with_cr2284,2.0,all,pfss_global_abs_mean,pdyn_mean,pearson,0.07613648802924097,180,0.07613648802924097,0.4332833583208396,56.699999999999996,0.17921615465866503
final_with_cr2284,2.0,all,pfss_global_abs_mean,pdyn_mean,spearman,0.1971501178019898,180,0.1971501178019898,0.14392803598200898,85.65,0.2522514069364281
final_with_cr2284,2.0,all,pfss_global_abs_mean,ma_mean,pearson,-0.08634534892582814,180,0.08634534892582814,0.3758120939530235,62.45,0.1853215074314537
