sample,rss,cr,x,y,method,r,n,abs_r
final_with_cr2284,2.0,all,pfss_equator_abs_mean,speed_mean,pearson,0.0991852469557167,180,0.0991852469557167
final_with_cr2284,2.0,all,pfss_equator_abs_mean,speed_mean,spearman,-0.06020147751550614,180,0.06020147751550614
final_with_cr2284,2.0,all,pfss_equator_abs_mean,bmag_mean,pearson,0.266863494162589,180,0.266863494162589
final_with_cr2284,2.0,all,pfss_equator_abs_mean,bmag_mean,spearman,0.28034933194923917,180,0.28034933194923917
final_with_cr2284,2.0,all,pfss_equator_abs_mean,density_mean,pearson,0.23496219002155574,180,0.23496219002155574
final_with_cr2284,2.0,all,pfss_equator_abs_mean,density_mean,spearman,0.29592389473130387,180,0.29592389473130387
final_with_cr2284,2.0,all,pfss_equator_abs_mean,pdyn_mean,pearson,0.19560787179742647,180,0.19560787179742647
final_with_cr2284,2.0,all,pfss_equator_abs_mean,pdyn_mean,spearman,0.2893258022366945,180,0.2893258022366945
final_with_cr2284,2.0,all,pfss_equator_abs_mean,ma_mean,pearson,-0.06133836489760031,180,0.06133836489760031
final_with_cr2284,2.0,all,pfss_equator_abs_mean,ma_mean,spearman,-0.10245995246766876,180,0.10245995246766876
final_with_cr2284,2.0,all,pfss_midlat_abs_mean,speed_mean,pearson,0.05968790494588767,180,0.05968790494588767
final_with_cr2284,2.0,all,pfss_midlat_abs_mean,speed_mean,spearman,-0.11785760767186126,180,0.11785760767186126
final_with_cr2284,2.0,all,pfss_midlat_abs_mean,bmag_mean,pearson,0.24647133077930572,180,0.24647133077930572
final_with_cr2284,2.0,all,pfss_midlat_abs_mean,bmag_mean,spearman,0.26165635855861075,180,0.26165635855861075
final_with_cr2284,2.0,all,pfss_midlat_abs_mean,density_mean,pearson,0.22666834483906972,180,0.22666834483906972
final_with_cr2284,2.0,all,pfss_midlat_abs_mean,density_mean,spearman,0.2936892567102546,180,0.2936892567102546
final_with_cr2284,2.0,all,pfss_midlat_abs_mean,pdyn_mean,pearson,0.17011340386177304,180,0.17011340386177304
final_with_cr2284,2.0,all,pfss_midlat_abs_mean,pdyn_mean,spearman,0.2678889266129613,180,0.2678889266129613
final_with_cr2284,2.0,all,pfss_midlat_abs_mean,ma_mean,pearson,-0.05700828649625795,180,0.05700828649625795
final_with_cr2284,2.0,all,pfss_midlat_abs_mean,ma_mean,spearman,-0.09391030587363808,180,0.09391030587363808
final_with_cr2284,2.0,all,pfss_global_abs_mean,speed_mean,pearson,-0.04358065623496401,180,0.04358065623496401
final_with_cr2284,2.0,all,pfss_global_abs_mean,speed_mean,spearman,-0.1822948148064558,180,0.1822948148064558
final_with_cr2284,2.0,all,pfss_global_abs_mean,bmag_mean,pearson,0.2026001698989301,180,0.2026001698989301
final_with_cr2284,2.0,all,pfss_global_abs_mean,bmag_mean,spearman,0.23707739800480418,180,0.23707739800480418
final_with_cr2284,2.0,all,pfss_global_abs_mean,density_mean,pearson,0.18198008728398946,180,0.18198008728398946
final_with_cr2284,2.0,all,pfss_global_abs_mean,density_mean,spearman,0.2506004560843033,180,0.2506004560843033
final_with_cr2284,2.0,all,pfss_global_abs_mean,pdyn_mean,pearson,0.07613648802924097,180,0.07613648802924097
final_with_cr2284,2.0,all,pfss_global_abs_mean,pdyn_mean,spearman,0.1971501178019898,180,0.1971501178019898
final_with_cr2284,2.0,all,pfss_global_abs_mean,ma_mean,pearson,-0.08634534892582814,180,0.08634534892582814
final_with_cr2284,2.0,all,pfss_global_abs_mean,ma_mean,spearman,-0.1262322911200963,180,0.1262322911200963
final_with_cr2284,2.0,2281,pfss_equator_abs_mean,speed_mean,pearson,-0.4303337043528953,36,0.4303337043528953
final_with_cr2284,2.0,2281,pfss_equator_abs_mean,speed_mean,spearman,-0.41981981981981986,36,0.41981981981981986
final_with_cr2284,2.0,2281,pfss_equator_abs_mean,bmag_mean,pearson,0.1466788308675697,36,0.1466788308675697
final_with_cr2284,2.0,2281,pfss_equator_abs_mean,bmag_mean,spearman,0.2709312059152958,36,0.2709312059152958
final_with_cr2284,2.0,2281,pfss_equator_abs_mean,density_mean,pearson,-0.010715232595265953,36,0.010715232595265953
final_with_cr2284,2.0,2281,pfss_equator_abs_mean,density_mean,spearman,0.45379665379665374,36,0.45379665379665374
final_with_cr2284,2.0,2281,pfss_equator_abs_mean,pdyn_mean,pearson,-0.09968336268274115,36,0.09968336268274115
final_with_cr2284,2.0,2281,pfss_equator_abs_mean,pdyn_mean,spearman,0.1734877734877735,36,0.1734877734877735
final_with_cr2284,2.0,2281,pfss_equator_abs_mean,ma_mean,pearson,-0.26415139247436903,36,0.26415139247436903
final_with_cr2284,2.0,2281,pfss_equator_abs_mean,ma_mean,spearman,-0.19845559845559846,36,0.19845559845559846
final_with_cr2284,2.0,2281,pfss_midlat_abs_mean,speed_mean,pearson,-0.4387624913977912,36,0.4387624913977912
final_with_cr2284,2.0,2281,pfss_midlat_abs_mean,speed_mean,spearman,-0.45611325611325615,36,0.45611325611325615
final_with_cr2284,2.0,2281,pfss_midlat_abs_mean,bmag_mean,pearson,0.118041798642296,36,0.118041798642296
final_with_cr2284,2.0,2281,pfss_midlat_abs_mean,bmag_mean,spearman,0.23978377036588888,36,0.23978377036588888
final_with_cr2284,2.0,2281,pfss_midlat_abs_mean,density_mean,pearson,-0.036056821549183035,36,0.036056821549183035
final_with_cr2284,2.0,2281,pfss_midlat_abs_mean,density_mean,spearman,0.40025740025740025,36,0.40025740025740025
