cr,x,y,method,r,n
all,pfss_equator_abs_mean,speed_mean,pearson,0.08471116534617645,214
all,pfss_equator_abs_mean,speed_mean,spearman,-0.013357790166739167,214
all,pfss_equator_abs_mean,bmag_mean,pearson,0.2383208139679086,214
all,pfss_equator_abs_mean,bmag_mean,spearman,0.27618009440083036,214
all,pfss_equator_abs_mean,density_mean,pearson,0.18681402589268778,214
all,pfss_equator_abs_mean,density_mean,spearman,0.2229221449103226,214
all,pfss_equator_abs_mean,pdyn_mean,pearson,0.15807886214243608,214
all,pfss_equator_abs_mean,pdyn_mean,spearman,0.22689311264238332,214
all,pfss_equator_abs_mean,ma_mean,pearson,-0.10337045229580512,214
all,pfss_equator_abs_mean,ma_mean,spearman,-0.16514536031664886,214
all,pfss_midlat_abs_mean,speed_mean,pearson,0.052385072020447426,214
all,pfss_midlat_abs_mean,speed_mean,spearman,-0.06576651479104965,214
all,pfss_midlat_abs_mean,bmag_mean,pearson,0.22361473722980388,214
all,pfss_midlat_abs_mean,bmag_mean,spearman,0.24959186753397325,214
all,pfss_midlat_abs_mean,density_mean,pearson,0.18070060126750104,214
all,pfss_midlat_abs_mean,density_mean,spearman,0.21465449948112933,214
all,pfss_midlat_abs_mean,pdyn_mean,pearson,0.1360282547759635,214
all,pfss_midlat_abs_mean,pdyn_mean,spearman,0.19759390946854785,214
all,pfss_midlat_abs_mean,ma_mean,pearson,-0.10691993896288965,214
all,pfss_midlat_abs_mean,ma_mean,spearman,-0.15736872878216923,214
all,pfss_global_abs_mean,speed_mean,pearson,-0.03352386926111672,214
all,pfss_global_abs_mean,speed_mean,spearman,-0.12864510693948733,214
all,pfss_global_abs_mean,bmag_mean,pearson,0.19055322036233668,214
all,pfss_global_abs_mean,bmag_mean,spearman,0.21028502997972337,214
all,pfss_global_abs_mean,density_mean,pearson,0.13741897174185194,214
all,pfss_global_abs_mean,density_mean,spearman,0.15550018214044098,214
all,pfss_global_abs_mean,pdyn_mean,pearson,0.06019293312631275,214
all,pfss_global_abs_mean,pdyn_mean,spearman,0.10874978189064839,214
all,pfss_global_abs_mean,ma_mean,pearson,-0.147545247613123,214
all,pfss_global_abs_mean,ma_mean,spearman,-0.18912545037667866,214
2281,pfss_equator_abs_mean,speed_mean,pearson,-0.41198405867824395,36
2281,pfss_equator_abs_mean,speed_mean,spearman,-0.36911196911196914,36
2281,pfss_equator_abs_mean,bmag_mean,pearson,0.07570252839089568,36
2281,pfss_equator_abs_mean,bmag_mean,spearman,0.26398095170179176,36
2281,pfss_equator_abs_mean,density_mean,pearson,-0.07231927412434393,36
2281,pfss_equator_abs_mean,density_mean,spearman,0.3428571428571429,36
2281,pfss_equator_abs_mean,pdyn_mean,pearson,-0.16223963559983642,36
2281,pfss_equator_abs_mean,pdyn_mean,spearman,0.15135135135135136,36
2281,pfss_equator_abs_mean,ma_mean,pearson,-0.22940911826901053,36
2281,pfss_equator_abs_mean,ma_mean,spearman,-0.1891891891891892,36
2281,pfss_midlat_abs_mean,speed_mean,pearson,-0.41211169736623415,36
2281,pfss_midlat_abs_mean,speed_mean,spearman,-0.3935649935649936,36
2281,pfss_midlat_abs_mean,bmag_mean,pearson,0.07180525855512998,36
2281,pfss_midlat_abs_mean,bmag_mean,spearman,0.24969431804070016,36
2281,pfss_midlat_abs_mean,density_mean,pearson,-0.044712039031155115,36
2281,pfss_midlat_abs_mean,density_mean,spearman,0.3482625482625483,36
2281,pfss_midlat_abs_mean,pdyn_mean,pearson,-0.13720915735886652,36
2281,pfss_midlat_abs_mean,pdyn_mean,spearman,0.12998712998713002,36
2281,pfss_midlat_abs_mean,ma_mean,pearson,-0.1987053794138007,36
2281,pfss_midlat_abs_mean,ma_mean,spearman,-0.1758043758043758,36
2281,pfss_global_abs_mean,speed_mean,pearson,-0.39208666766106615,36
2281,pfss_global_abs_mean,speed_mean,spearman,-0.37194337194337196,36
2281,pfss_global_abs_mean,bmag_mean,pearson,0.08007936794393845,36
2281,pfss_global_abs_mean,bmag_mean,spearman,0.19499324321219627,36
2281,pfss_global_abs_mean,density_mean,pearson,0.025940120797662586,36
2281,pfss_global_abs_mean,density_mean,spearman,0.2815958815958816,36
2281,pfss_global_abs_mean,pdyn_mean,pearson,-0.06586481803362158,36
2281,pfss_global_abs_mean,pdyn_mean,spearman,0.07155727155727155,36
2281,pfss_global_abs_mean,ma_mean,pearson,-0.11397513537240729,36
2281,pfss_global_abs_mean,ma_mean,spearman,-0.12767052767052767,36
2283,pfss_equator_abs_mean,speed_mean,pearson,-0.1426096430475187,36
2283,pfss_equator_abs_mean,speed_mean,spearman,-0.08725868725868725,36
2283,pfss_equator_abs_mean,bmag_mean,pearson,0.2754631722201342,36
2283,pfss_equator_abs_mean,bmag_mean,spearman,0.31891891891891894,36
2283,pfss_equator_abs_mean,density_mean,pearson,0.40548484517873706,36
2283,pfss_equator_abs_mean,density_mean,spearman,0.37194337194337196,36
2283,pfss_equator_abs_mean,pdyn_mean,pearson,0.40270635944478034,36
2283,pfss_equator_abs_mean,pdyn_mean,spearman,0.39407979407979404,36
2283,pfss_equator_abs_mean,ma_mean,pearson,0.002630332745562581,36
2283,pfss_equator_abs_mean,ma_mean,spearman,-0.020334620334620336,36
