rss,cr,matched_stream_peaks,median_abs_timing_error_days,mean_abs_timing_error_days,median_abs_phase_error_deg
2.0,2281,1,3.75,3.75,50.0
2.0,2283,1,3.75,3.75,50.0
2.0,2284,2,3.0,3.0,40.0
2.0,2286,2,1.1666666666666665,1.1666666666666665,15.0
2.0,2287,3,1.5,1.75,20.0
2.0,2290,2,2.333333333333333,2.333333333333333,30.0
2.5,2281,1,3.75,3.75,50.0
2.5,2283,1,3.75,3.75,50.0
2.5,2284,2,3.0,3.0,40.0
2.5,2286,2,1.1666666666666665,1.1666666666666665,15.0
2.5,2287,3,6.0,4.25,80.0
2.5,2290,2,4.277777777777778,4.277777777777778,55.0
3.0,2281,1,3.0,3.0,40.0
3.0,2283,1,3.75,3.75,50.0
3.0,2284,2,3.0,3.0,40.0
3.0,2286,2,1.1666666666666665,1.1666666666666665,15.0
3.0,2287,3,6.0,4.0,80.0
3.0,2290,2,4.277777777777778,4.277777777777778,55.0
