rss,cr,x,y,method,r,n
2.0,all,expansion_speed_proxy_equator_mean,speed_mean,spearman,-0.07293334055773291,214
2.0,all,expansion_speed_proxy_equator_mean,speed_mean,pearson,-0.008368390173535224,214
2.0,all,expansion_speed_proxy_equator_mean,bmag_mean,spearman,0.25668708170823884,214
2.0,all,expansion_speed_proxy_equator_mean,bmag_mean,pearson,0.20493238163885577,214
2.0,all,expansion_speed_proxy_equator_mean,density_mean,spearman,0.24544824776251498,214
2.0,all,expansion_speed_proxy_equator_mean,density_mean,pearson,0.1704299403408607,214
2.0,all,expansion_speed_proxy_equator_mean,pdyn_mean,spearman,0.21068353174906865,214
2.0,all,expansion_speed_proxy_equator_mean,pdyn_mean,pearson,0.1072418720222584,214
2.0,all,expansion_speed_proxy_equator_mean,ma_mean,spearman,-0.14572276082051974,214
2.0,all,expansion_speed_proxy_equator_mean,ma_mean,pearson,-0.07622365130122186,214
2.0,all,expansion_speed_proxy_midlat_mean,speed_mean,spearman,-0.05855924112004129,214
2.0,all,expansion_speed_proxy_midlat_mean,speed_mean,pearson,-0.009406500037865188,214
2.0,all,expansion_speed_proxy_midlat_mean,bmag_mean,spearman,0.24846106586170913,214
2.0,all,expansion_speed_proxy_midlat_mean,bmag_mean,pearson,0.16057642521756205,214
2.0,all,expansion_speed_proxy_midlat_mean,density_mean,spearman,0.21498639762526534,214
2.0,all,expansion_speed_proxy_midlat_mean,density_mean,pearson,0.1080118548163017,214
2.0,all,expansion_speed_proxy_midlat_mean,pdyn_mean,spearman,0.23115917850069334,214
2.0,all,expansion_speed_proxy_midlat_mean,pdyn_mean,pearson,0.028999823887312155,214
2.0,all,expansion_speed_proxy_midlat_mean,ma_mean,spearman,-0.12164348840270486,214
2.0,all,expansion_speed_proxy_midlat_mean,ma_mean,pearson,-0.13716608392310337,214
2.0,all,expansion_speed_proxy_global_mean,speed_mean,spearman,-0.1410447027880419,214
2.0,all,expansion_speed_proxy_global_mean,speed_mean,pearson,-0.06160168070077923,214
2.0,all,expansion_speed_proxy_global_mean,bmag_mean,spearman,0.2462692575310619,214
2.0,all,expansion_speed_proxy_global_mean,bmag_mean,pearson,0.1390216519582393,214
2.0,all,expansion_speed_proxy_global_mean,density_mean,spearman,0.1803674585033523,214
2.0,all,expansion_speed_proxy_global_mean,density_mean,pearson,0.09034753415553613,214
2.0,all,expansion_speed_proxy_global_mean,pdyn_mean,spearman,0.1553116132132941,214
2.0,all,expansion_speed_proxy_global_mean,pdyn_mean,pearson,-0.02663214968571671,214
