cr,x,y,method,r,n
all,pfss_equator_abs_mean,speed_mean,pearson,0.08805958347892781,214
all,pfss_equator_abs_mean,speed_mean,spearman,-0.027834129088328424,214
all,pfss_equator_abs_mean,bmag_mean,pearson,0.25657724649942276,214
all,pfss_equator_abs_mean,bmag_mean,spearman,0.28531222095388464,214
all,pfss_equator_abs_mean,density_mean,pearson,0.2024693192344349,214
all,pfss_equator_abs_mean,density_mean,spearman,0.2691822259038198,214
all,pfss_equator_abs_mean,pdyn_mean,pearson,0.17120043587039932,214
all,pfss_equator_abs_mean,pdyn_mean,spearman,0.2699676432863646,214
all,pfss_equator_abs_mean,ma_mean,pearson,-0.08786248600759962,214
all,pfss_equator_abs_mean,ma_mean,spearman,-0.1376204193209682,214
all,pfss_midlat_abs_mean,speed_mean,pearson,0.044331216352318036,214
all,pfss_midlat_abs_mean,speed_mean,spearman,-0.0887694618651412,214
all,pfss_midlat_abs_mean,bmag_mean,pearson,0.23319897889963034,214
all,pfss_midlat_abs_mean,bmag_mean,spearman,0.2700350719944878,214
all,pfss_midlat_abs_mean,density_mean,pearson,0.18904452483452694,214
all,pfss_midlat_abs_mean,density_mean,spearman,0.26416800516974126,214
all,pfss_midlat_abs_mean,pdyn_mean,pearson,0.14193570599946523,214
all,pfss_midlat_abs_mean,pdyn_mean,spearman,0.24386309161205003,214
all,pfss_midlat_abs_mean,ma_mean,pearson,-0.09351398688730207,214
all,pfss_midlat_abs_mean,ma_mean,spearman,-0.13904325758944017,214
all,pfss_global_abs_mean,speed_mean,pearson,-0.04457498410565659,214
all,pfss_global_abs_mean,speed_mean,spearman,-0.1428728423621516,214
all,pfss_global_abs_mean,bmag_mean,pearson,0.18931415155492437,214
all,pfss_global_abs_mean,bmag_mean,spearman,0.23427920883067205,214
all,pfss_global_abs_mean,density_mean,pearson,0.13812243610096553,214
all,pfss_global_abs_mean,density_mean,spearman,0.20291981930439199,214
all,pfss_global_abs_mean,pdyn_mean,pearson,0.059553241742029146,214
all,pfss_global_abs_mean,pdyn_mean,spearman,0.15717526196081072,214
all,pfss_global_abs_mean,ma_mean,pearson,-0.12942481847036003,214
all,pfss_global_abs_mean,ma_mean,spearman,-0.17003345873983305,214
2281,pfss_equator_abs_mean,speed_mean,pearson,-0.4303337043528953,36
2281,pfss_equator_abs_mean,speed_mean,spearman,-0.41981981981981986,36
2281,pfss_equator_abs_mean,bmag_mean,pearson,0.1466788308675697,36
2281,pfss_equator_abs_mean,bmag_mean,spearman,0.2709312059152958,36
2281,pfss_equator_abs_mean,density_mean,pearson,-0.010715232595265953,36
2281,pfss_equator_abs_mean,density_mean,spearman,0.45379665379665374,36
2281,pfss_equator_abs_mean,pdyn_mean,pearson,-0.09968336268274115,36
2281,pfss_equator_abs_mean,pdyn_mean,spearman,0.1734877734877735,36
2281,pfss_equator_abs_mean,ma_mean,pearson,-0.26415139247436903,36
2281,pfss_equator_abs_mean,ma_mean,spearman,-0.19845559845559846,36
2281,pfss_midlat_abs_mean,speed_mean,pearson,-0.4387624913977912,36
2281,pfss_midlat_abs_mean,speed_mean,spearman,-0.45611325611325615,36
2281,pfss_midlat_abs_mean,bmag_mean,pearson,0.118041798642296,36
2281,pfss_midlat_abs_mean,bmag_mean,spearman,0.23978377036588888,36
2281,pfss_midlat_abs_mean,density_mean,pearson,-0.036056821549183035,36
2281,pfss_midlat_abs_mean,density_mean,spearman,0.40025740025740025,36
2281,pfss_midlat_abs_mean,pdyn_mean,pearson,-0.12791129078635727,36
2281,pfss_midlat_abs_mean,pdyn_mean,spearman,0.09652509652509651,36
2281,pfss_midlat_abs_mean,ma_mean,pearson,-0.2593910987505203,36
2281,pfss_midlat_abs_mean,ma_mean,spearman,-0.19922779922779926,36
2281,pfss_global_abs_mean,speed_mean,pearson,-0.4005995436279636,36
2281,pfss_global_abs_mean,speed_mean,spearman,-0.4146718146718147,36
2281,pfss_global_abs_mean,bmag_mean,pearson,0.12806558612438043,36
2281,pfss_global_abs_mean,bmag_mean,spearman,0.19846837031894826,36
2281,pfss_global_abs_mean,density_mean,pearson,0.024420295720840514,36
2281,pfss_global_abs_mean,density_mean,spearman,0.3675675675675676,36
2281,pfss_global_abs_mean,pdyn_mean,pearson,-0.06246252814500381,36
2281,pfss_global_abs_mean,pdyn_mean,spearman,0.08803088803088803,36
2281,pfss_global_abs_mean,ma_mean,pearson,-0.17406511480877804,36
2281,pfss_global_abs_mean,ma_mean,spearman,-0.13642213642213644,36
2283,pfss_equator_abs_mean,speed_mean,pearson,-0.07341610152287029,36
2283,pfss_equator_abs_mean,speed_mean,spearman,0.038610038610038616,36
2283,pfss_equator_abs_mean,bmag_mean,pearson,0.30358210482091036,36
2283,pfss_equator_abs_mean,bmag_mean,spearman,0.40051480051480054,36
2283,pfss_equator_abs_mean,density_mean,pearson,0.32155296049439286,36
2283,pfss_equator_abs_mean,density_mean,spearman,0.35263835263835264,36
2283,pfss_equator_abs_mean,pdyn_mean,pearson,0.31258954345107276,36
2283,pfss_equator_abs_mean,pdyn_mean,spearman,0.4,36
2283,pfss_equator_abs_mean,ma_mean,pearson,-0.09169201154152272,36
2283,pfss_equator_abs_mean,ma_mean,spearman,-0.11274131274131274,36
2283,pfss_midlat_abs_mean,speed_mean,pearson,-0.033861632759492534,36
2283,pfss_midlat_abs_mean,speed_mean,spearman,0.014929214929214929,36
2283,pfss_midlat_abs_mean,bmag_mean,pearson,0.2277975823973994,36
2283,pfss_midlat_abs_mean,bmag_mean,spearman,0.2921492921492922,36
2283,pfss_midlat_abs_mean,density_mean,pearson,0.21301523569217032,36
2283,pfss_midlat_abs_mean,density_mean,spearman,0.2370656370656371,36
2283,pfss_midlat_abs_mean,pdyn_mean,pearson,0.21360587675310588,36
2283,pfss_midlat_abs_mean,pdyn_mean,spearman,0.2888030888030888,36
2283,pfss_midlat_abs_mean,ma_mean,pearson,-0.09407623205966888,36
